id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
6	'current	-0.0235	-0.2929	2	440	1022	74
292	ablation therapy	0.6295	0.5304	3	256	545	15
368	accelerometry	0.4768	0.4757	5	180	394	17
396	accuracy	0.1496	-0.1373	2	869	6182	271
415	accurate prediction	-0.8648	-0.443	1	227	414	26
598	acute heart infarction	0.3932	-0.5717	2	268	533	16
677	adaptive boosting	-0.7877	-0.6399	1	551	2961	193
860	additives	-0.2024	-0.4598	1	232	424	27
896	adolescent	0.6618	0.4674	3	407	1322	42
913	adult	0.6219	-0.0899	2	963	16737	595
958	adversarial machine learning	-0.6896	-0.3332	1	436	1805	159
959	adversarial networks	-0.436	0.1729	1	208	405	35
1036	age	0.448	-0.7738	2	277	641	24
1052	aged	0.7394	-0.2799	2	868	8626	300
1054	"aged, 80 and over"	0.8509	-0.5328	2	262	630	21
1089	aging	0.7715	-0.3541	2	240	462	20
1197	air quality	-0.4586	-0.0864	1	165	311	38
1271	albumin	0.4302	-0.9473	2	225	428	15
1280	alcohol consumption	0.5836	-0.947	2	195	392	13
1307	algorithm	0.2043	0.3043	5	989	17540	684
1323	algorithms	0.187	0.474	5	948	11396	431
1390	alzheimer disease	0.1219	-0.7328	2	253	523	23
1591	anemia	0.1924	-0.9459	2	238	437	15
1611	angina pectoris	0.0301	-0.8936	2	206	403	12
1621	angiography	1.0643	-0.1815	3	299	786	38
1635	animal	0.7529	-0.4604	2	364	1079	58
1640	animal experiment	0.9847	-0.3592	2	268	626	26
1642	animal model	1.0254	-0.3771	2	216	467	19
1649	animals	0.7043	-0.4441	2	400	1172	65
1685	anomaly detection	-0.7221	0.3122	1	389	959	85
1842	aorta	1.14	0.3176	3	172	397	16
1882	aortic stenosis	0.3015	0.8632	4	250	583	21
1884	aortic valve	0.9226	0.3695	3	211	402	18
1924	apnea hypopnea index	0.5579	0.7057	5	203	462	15
2047	architecture	-0.1742	0.2499	3	297	550	29
2061	area under the curve	0.4003	-0.4446	2	733	4226	136
2105	arrhythmia	-0.7987	0.8369	4	427	1901	101
2107	arrhythmia classification	-0.681	0.9579	4	310	1127	60
2108	arrhythmia detection	-0.7499	0.9482	4	311	1259	69
2122	"arrhythmias, cardiac"	-0.3488	1.1692	4	382	1806	60
2139	arterial blood pressure	0.5843	0.7959	5	179	396	17
2157	arterial pressure	0.7104	0.6665	5	265	676	23
2170	arterial stiffness	0.8815	0.0709	5	284	585	23
2198	artery	0.9881	0.3349	3	250	521	22
2225	arthroplasty	0.3088	0.1983	5	218	419	22
2230	article	0.3789	-0.0672	2	998	38046	1497
2234	artifact	0.3207	0.949	4	273	661	26
2268	artificial heart	-0.1351	0.0544	6	258	584	30
2277	artificial intelligence	-0.1909	-0.2999	1	958	10419	674
2278	artificial intelligence (ai)	-0.7327	-0.1706	1	224	467	42
2317	artificial neural network	0.1796	0.1891	4	948	10596	432
2325	artificial neural networks	-0.3882	0.1	1	226	380	43
2445	atherosclerosis	0.9061	-0.0284	3	291	587	30
2450	atherosclerotic plaque	1.0542	-0.1128	3	241	521	24
2495	atrial fibrillation	-0.0131	0.7713	4	581	2796	126
2532	attention	0.2939	0.4797	3	393	1007	47
2552	attention mechanism	-0.0759	0.4992	4	413	1127	73
2553	attention mechanisms	-0.1677	0.5816	4	527	1914	116
2557	attention network	0.4328	0.5714	3	228	381	16
2682	auto encoders	-0.4726	0.5018	4	516	1760	100
2705	autoencoder	-0.134	0.5227	4	453	1337	55
2862	automation	-0.269	0.2989	4	604	2169	125
3003	back propagation	0.2401	0.6295	4	278	587	22
3022	backpropagation	-0.4735	0.0457	1	285	530	45
3089	balancing	-1.0466	-0.3584	1	214	407	22
3136	barium compounds	-1.1	-0.6239	1	198	510	33
3225	bayes theorem	-0.1958	-0.9362	2	357	1061	41
3244	bayesian learning	-0.0726	-0.8802	2	485	1939	64
3250	bayesian network	-0.164	-0.7812	1	209	359	18
3254	bayesian networks	-0.4485	-0.5179	1	312	689	57
3348	behavioral research	-0.6817	-0.2439	1	334	851	75
3378	benchmarking	-0.4197	0.0048	1	633	2326	141
3533	big data	-0.8084	-0.2752	1	433	1356	127
3592	binary classification	-0.0522	-0.0652	4	401	1023	55
3754	bioinformatics	-0.0016	-0.2123	5	573	1954	103
3775	biological marker	0.6521	-0.5843	2	470	1655	63
3780	biological model	1.0447	0.1115	3	291	861	34
3784	biological organs	-0.0867	-0.5317	3	283	858	56
3799	biological system modeling	-0.1236	0.3624	5	254	540	29
3800	biological systems	-0.0333	0.4404	5	226	446	26
3823	biomarkers	0.5134	-0.6523	2	448	1577	91
3839	biomechanical phenomena	0.8745	-0.078	3	211	464	21
3845	biomechanics	0.8138	-0.0198	3	305	771	48
3863	biomedical engineering	-0.0496	0.2036	1	242	432	34
3870	biomedical imaging	0.118	-0.1667	3	202	396	24
3876	biomedical measurements	0.6069	0.7106	5	247	487	18
3877	biomedical monitoring	-0.0363	0.5435	5	384	1005	58
3887	biomedical signal processing	-0.5557	0.8569	4	742	8198	420
3936	biosensing techniques	0.5758	-0.4188	2	242	648	32
3938	biosensors	0.2613	-0.2328	2	214	416	28
4052	block-chain	-1.1313	-0.1405	1	209	603	56
4056	blockchain	-1.0853	-0.133	1	229	720	80
4066	blood	0.5213	0.0103	5	767	4984	272
4096	blood flow	0.9295	0.2028	3	327	779	40
4102	blood flow velocity	1.1549	0.1544	3	236	516	19
4104	blood glucose	0.3334	-0.6512	2	249	549	25
4113	blood glucose monitoring	0.3302	-0.7094	2	206	371	12
4130	blood pressure	0.3703	0.3715	5	789	6069	289
4138	blood pressure determination	0.6366	0.9534	5	264	1052	34
4140	blood pressure estimation	0.3445	1.0491	5	251	987	49
4141	blood pressure measurement	0.5924	0.8433	5	392	1701	65
4143	blood pressure monitoring	0.4266	0.7551	5	313	972	39
4195	blood vessels	0.7454	0.0612	3	627	3010	174
4208	blood-pressure monitoring	0.4901	1.0077	5	209	591	29
4248	body mass	0.5979	-0.6598	2	552	2421	79
4279	body weight	0.6138	-0.2734	2	255	437	14
4298	bone	0.6304	-0.2284	3	205	380	24
4446	brain	-0.3234	0.4374	4	663	3356	181
4495	brain mapping	0.0357	0.3359	5	203	404	24
4497	brain modeling	0.0669	0.5808	5	225	502	23
4523	brain tumor	-0.1416	0.3025	3	239	642	31
4530	brain tumors	-0.5766	0.5094	3	161	413	24
4571	breast cancer	-0.4691	-0.7246	1	409	1581	114
4616	breathing	0.6494	0.729	5	236	519	20
4626	breathing rate	0.5465	0.3358	5	368	968	35
4775	c reactive protein	0.6067	-0.8902	2	217	406	14
4851	calibration	0.443	-0.0582	5	375	884	45
4895	cancer classification	-0.1167	-0.4918	3	180	390	21
4898	cancer diagnosis	0.0231	-0.451	3	231	624	29
5069	cardiac arrest	-0.1498	-0.1148	5	242	484	24
5072	cardiac arrhythmia	-0.7847	0.9073	4	259	823	49
5124	cardiac disease	-0.8553	0.4476	1	330	889	54
5187	cardiac muscle	1.1497	0.3871	3	244	653	26
5280	cardio-vascular disease	-0.2383	0.3906	4	338	787	50
5292	cardiologist	0.0244	0.8872	4	210	409	15
5293	cardiology	-0.38	0.3594	4	965	17942	952
5305	cardiomyopathy	0.6625	-0.023	2	260	490	19
5329	cardiovascular	0.109	-0.041	5	223	406	31
5350	cardiovascular disease	-0.0015	0.1089	4	966	13285	679
5352	cardiovascular disease (cvd)	-0.8699	0.3394	4	226	462	28
5366	cardiovascular diseases	-0.0128	0.0311	4	662	2996	150
5375	cardiovascular event	0.0816	-0.7843	2	198	389	15
5399	cardiovascular magnetic resonance	1.0813	0.2816	3	269	813	31
